Group_Type,Group,N,Positive_N,Prevalence,Selection_Rate,Sensitivity_TPR,Specificity,FPR,FNR,PPV,NPV,ROC_AUC,Mean_Predicted_Risk
Sex,1.0,502,30,0.05976095617529881,0.2749003984063745,0.7666666666666667,0.7563559322033898,0.24364406779661016,0.23333333333333334,0.16666666666666666,0.9807692307692307,0.7896186440677967,0.31732790198392
Sex,2.0,512,62,0.12109375,0.4296875,0.7419354838709677,0.6133333333333333,0.38666666666666666,0.25806451612903225,0.20909090909090908,0.9452054794520548,0.7429390681003584,0.39922570010571595
Race_Ethnicity,1.0,142,16,0.11267605633802817,0.30985915492957744,0.75,0.746031746031746,0.25396825396825395,0.25,0.2727272727272727,0.9591836734693877,0.7991071428571428,0.34978830315278536
Race_Ethnicity,2.0,102,8,0.0784313725490196,0.39215686274509803,0.375,0.6063829787234043,0.39361702127659576,0.625,0.075,0.9193548387096774,0.5757978723404256,0.3737773154609458
Race_Ethnicity,3.0,332,36,0.10843373493975904,0.43373493975903615,0.8888888888888888,0.6216216216216216,0.3783783783783784,0.1111111111111111,0.2222222222222222,0.9787234042553191,0.8049924924924925,0.40389559961674765
Race_Ethnicity,4.0,249,19,0.07630522088353414,0.3132530120481928,0.5789473684210527,0.7086956521739131,0.29130434782608694,0.42105263157894735,0.14102564102564102,0.9532163742690059,0.6892448512585811,0.3449676138311412
Race_Ethnicity,5.0,189,13,0.06878306878306878,0.2751322751322751,0.8461538461538461,0.7670454545454546,0.23295454545454544,0.15384615384615385,0.21153846153846154,0.9854014598540146,0.8081293706293706,0.29585537094512204
Age_Group,18-29,183,15,0.08196721311475409,0.33879781420765026,0.6666666666666666,0.6904761904761905,0.30952380952380953,0.3333333333333333,0.16129032258064516,0.9586776859504132,0.7932539682539683,0.36404143240798953
Age_Group,30-44,231,20,0.08658008658008658,0.2987012987012987,0.8,0.7488151658767772,0.25118483412322273,0.2,0.2318840579710145,0.9753086419753086,0.8578199052132701,0.3292115129164597
Age_Group,45-59,238,25,0.10504201680672269,0.39915966386554624,0.84,0.6525821596244131,0.3474178403755869,0.16,0.22105263157894736,0.972027972027972,0.7962441314553991,0.3766050816678296
Age_Group,60+,362,32,0.08839779005524862,0.36464088397790057,0.6875,0.6666666666666666,0.3333333333333333,0.3125,0.16666666666666666,0.9565217391304348,0.6780303030303031,0.36299092320095777
