Feature,LIME_Weight
categorical__DMDEDUC2_9.0 <= 0.00,-0.23419016253013314
categorical__SLQ050_1.0 <= 0.00,-0.21467461779111865
categorical__HUQ010_1.0 <= 0.00,0.14395902813727215
categorical__HUQ030_3.0 <= 0.00,-0.1272469474694292
categorical__HUQ010_5.0 <= 0.00,-0.10516277013718493
0.00 < categorical__HUQ010_2.0 <= 1.00,-0.10262692159650416
categorical__INDHHIN2_9.0 <= 0.00,0.09833595753458475
categorical__HUQ010_4.0 <= 0.00,-0.09259771398001462
-0.69 < numeric__BMXWAIST <= -0.07,0.07977350077132175
categorical__DMDMARTL_1.0 <= 0.00,0.07581193374865418
categorical__INDHHIN2_77.0 <= 0.00,0.06677273206245499
categorical__DMDEDUC2_7.0 <= 0.00,-0.05845721112654398
categorical__RIDRETH1_1.0 <= 0.00,0.050710322048814614
categorical__SLQ050_9.0 <= 0.00,0.04933640474432755
categorical__DMDMARTL_77.0 <= 0.00,0.042563561691601644
