Feature,Mean_Absolute_SHAP
BMXBMI,1.2439439
BMXWAIST,1.1226256
RIDAGEYR,1.0829768
DMDMARTL_1.0,0.62761533
SLD012,0.45654675
SMQ040_1.0,0.4015863
INDHHIN2_15.0,0.39098486
SLQ050_1.0,0.38751644
SLD013,0.3731302
PAQ620_1.0,0.33472297
PAD630,0.31192815
PAD615,0.22288416
RIDRETH1_4.0,0.20139952
INDHHIN2_14.0,0.1702985
DMDEDUC2_5.0,0.1655823
RIDRETH1_5.0,0.14775167
SMQ020_1.0,0.14584513
INDHHIN2_13.0,0.13352458
DMDMARTL_5.0,0.13092433
RIAGENDR_1.0,0.11559275
DMDMARTL_3.0,0.1153508
DMDMARTL_2.0,0.10272144
SMQ040_3.0,0.09548413
INDHHIN2_5.0,0.094987996
INDHHIN2_2.0,0.08405047
DMDMARTL_6.0,0.07225209
INDHHIN2_6.0,0.0699254
DMDEDUC2_1.0,0.0658672
INDHHIN2_10.0,0.06487944
SLQ050_2.0,0.05644244
RIDRETH1_3.0,0.05463215
DMDEDUC2_4.0,0.05363677
INDHHIN2_4.0,0.046689253
RIDRETH1_1.0,0.04444018
DMDMARTL_4.0,0.043886896
PAQ605_1.0,0.042621687
DMDEDUC2_3.0,0.041502394
DMDEDUC2_2.0,0.039215792
INDHHIN2_12.0,0.037298113
INDHHIN2_3.0,0.036352802
RIDRETH1_2.0,0.03566188
INDHHIN2_8.0,0.034990404
SMQ040_2.0,0.03260194
PAQ620_2.0,0.030849388
INDHHIN2_1.0,0.021576827
RIAGENDR_2.0,0.016219992
PAQ605_2.0,0.00839323
SMQ020_2.0,0.008390985
