Feature,Mean_Absolute_SHAP
categorical__SLQ050_1.0,0.6744246
categorical__DMDMARTL_1.0,0.3374063
numeric__BMXBMI,0.2876999
numeric__BMXWAIST,0.28701526
numeric__RIDAGEYR,0.26671606
categorical__HUQ010_2.0,0.2610611
categorical__HUQ010_4.0,0.20022516
categorical__HUQ010_1.0,0.17880104
numeric__SLD012,0.17364101
categorical__SLQ050_2.0,0.12688816
categorical__HUQ010_5.0,0.12419843
numeric__PAD630,0.12001761
numeric__SLD013,0.11169172
categorical__DMDEDUC2_5.0,0.11026573
categorical__INDHHIN2_15.0,0.075200245
categorical__RIDRETH1_4.0,0.07252235
categorical__INDHHIN2_9.0,0.06496782
categorical__RIAGENDR_1.0,0.06477805
categorical__SMQ040_3.0,0.056961484
categorical__RIDRETH1_1.0,0.056374148
categorical__SMQ020_1.0,0.052551407
categorical__DMDMARTL_2.0,0.050414264
categorical__RIDRETH1_3.0,0.04576512
categorical__INDHHIN2_6.0,0.04497966
numeric__PAD615,0.04382156
categorical__DMDMARTL_6.0,0.037033197
categorical__HUQ010_3.0,0.036731984
categorical__DMDEDUC2_3.0,0.029395454
categorical__INDHHIN2_1.0,0.023900453
categorical__DMDEDUC2_4.0,0.021439988
categorical__INDHHIN2_7.0,0.021024408
categorical__DMDEDUC2_2.0,0.020215584
categorical__SMQ040_1.0,0.020008756
categorical__DMDMARTL_5.0,0.017722331
categorical__INDHHIN2_14.0,0.017385282
categorical__RIAGENDR_2.0,0.016295876
categorical__HUQ030_1.0,0.015793663
categorical__INDHHIN2_3.0,0.015665414
categorical__INDHHIN2_12.0,0.015547924
categorical__INDHHIN2_5.0,0.014344272
categorical__INDHHIN2_10.0,0.01432047
categorical__INDHHIN2_77.0,0.014144753
categorical__INDHHIN2_2.0,0.014060355
categorical__INDHHIN2_8.0,0.013191739
categorical__HUQ030_3.0,0.012664765
categorical__INDHHIN2_4.0,0.0118209645
categorical__PAQ620_1.0,0.011779852
categorical__HUQ030_2.0,0.011531526
categorical__SMQ020_2.0,0.007946402
categorical__PAQ605_1.0,0.007888612
categorical__DMDMARTL_4.0,0.0073452825
categorical__RIDRETH1_5.0,0.007335937
categorical__DMDEDUC2_1.0,0.007115339
categorical__RIDRETH1_2.0,0.006557967
categorical__DMDEDUC2_9.0,0.0044481787
categorical__DMDMARTL_3.0,0.004207542
categorical__SMQ040_2.0,0.0034073372
categorical__PAQ605_2.0,0.0025032894
categorical__INDHHIN2_13.0,0.0021375555
categorical__INDHHIN2_99.0,0.001988718
categorical__PAQ620_2.0,0.00059628004
categorical__DMDEDUC2_7.0,0.0
categorical__DMDMARTL_77.0,0.0
categorical__SLQ050_9.0,0.0
categorical__PAQ605_9.0,0.0
categorical__PAQ620_9.0,0.0
categorical__HUQ010_7.0,0.0
categorical__HUQ010_9.0,0.0
categorical__HUQ030_9.0,0.0
