Feature,Importance
categorical__SLQ050_2.0,0.13299516
categorical__SLQ050_1.0,0.11303973
categorical__DMDMARTL_1.0,0.04382609
categorical__HUQ010_4.0,0.03558953
categorical__HUQ010_2.0,0.026511306
categorical__HUQ010_1.0,0.024409898
categorical__HUQ010_5.0,0.024390634
categorical__HUQ030_2.0,0.018579006
categorical__SMQ040_3.0,0.016269976
categorical__HUQ010_3.0,0.016160721
categorical__DMDEDUC2_5.0,0.016000422
categorical__INDHHIN2_8.0,0.014910853
categorical__DMDMARTL_2.0,0.014471227
categorical__SMQ020_2.0,0.014430175
categorical__SMQ040_1.0,0.014243239
categorical__INDHHIN2_2.0,0.013392127
categorical__PAQ620_1.0,0.012708013
numeric__BMXWAIST,0.01261127
numeric__BMXBMI,0.012600225
categorical__RIAGENDR_2.0,0.012586337
numeric__PAD630,0.012555274
categorical__RIDRETH1_1.0,0.012319655
categorical__DMDEDUC2_3.0,0.012306537
categorical__INDHHIN2_9.0,0.012099726
categorical__SMQ020_1.0,0.011961829
categorical__RIDRETH1_4.0,0.011912744
numeric__RIDAGEYR,0.011850982
categorical__RIDRETH1_3.0,0.011759901
numeric__SLD012,0.011730292
categorical__INDHHIN2_12.0,0.011535724
categorical__DMDMARTL_5.0,0.011456541
categorical__DMDMARTL_6.0,0.011406912
numeric__PAD615,0.011392104
categorical__INDHHIN2_6.0,0.011385818
categorical__INDHHIN2_7.0,0.011385094
categorical__INDHHIN2_4.0,0.011344441
numeric__SLD013,0.011271007
categorical__INDHHIN2_3.0,0.010897846
categorical__DMDMARTL_3.0,0.01027433
categorical__SMQ040_2.0,0.0102009075
categorical__RIAGENDR_1.0,0.010121048
categorical__INDHHIN2_15.0,0.009864204
categorical__DMDMARTL_4.0,0.009787425
categorical__INDHHIN2_77.0,0.009689518
categorical__DMDEDUC2_4.0,0.009645821
categorical__INDHHIN2_1.0,0.009491341
categorical__INDHHIN2_5.0,0.009261009
categorical__INDHHIN2_10.0,0.009244316
categorical__INDHHIN2_14.0,0.009171909
categorical__DMDEDUC2_2.0,0.009158733
categorical__HUQ030_1.0,0.008879657
categorical__PAQ605_1.0,0.008828421
categorical__DMDEDUC2_1.0,0.008432036
categorical__HUQ030_3.0,0.008344023
categorical__RIDRETH1_2.0,0.008147495
categorical__RIDRETH1_5.0,0.008070705
categorical__INDHHIN2_99.0,0.007917467
categorical__PAQ605_2.0,0.007012888
categorical__INDHHIN2_13.0,0.006483618
categorical__DMDEDUC2_9.0,0.0064766826
categorical__PAQ620_2.0,0.0051981052
categorical__DMDEDUC2_7.0,0.0
categorical__DMDMARTL_77.0,0.0
categorical__SLQ050_9.0,0.0
categorical__PAQ605_9.0,0.0
categorical__PAQ620_9.0,0.0
categorical__HUQ010_7.0,0.0
categorical__HUQ010_9.0,0.0
categorical__HUQ030_9.0,0.0
